,OLTV,DTI,CSCORE_B,PURPOSE,PROP,LOSS_GIVEN_DEFAULT,UNRATE,CURR_HPI,MORTGAGE30US,MTM_LTV,INT_DIFF,LOG_OUPB
13236,90,34.0,709.0,C,SF,0.0776214864646096,8.6,334.88666666666666,6.2,89.7364037752603,0.0499999999999998,12.757080058928997
13237,66,50.0,677.0,C,SF,0.6050997714310521,5.3,327.04,3.97,63.29589883194716,1.905,11.512925464970229
13238,85,59.0,790.0,C,CO,0.2898144856042007,8.2,299.68333333333334,3.35,88.01662505025712,2.525,12.185869938212655
13239,80,10.0,759.0,C,PU,0.1584334854243699,7.8,299.88666666666666,3.91,84.04751113103046,3.34,11.626254150277232
13241,80,64.0,629.0,C,SF,0.1720391959592226,9.5,298.54,3.36,84.73761462061101,2.765,12.748396936355535
13242,70,19.0,731.0,R,SF,0.1928230688421808,10.8,335.50666666666666,5.25,69.46006705068348,0.75,12.089538829274222
13243,69,52.0,715.0,C,SF,0.3293265957232956,7.8,299.88666666666666,3.91,71.52607755330853,1.965,12.301382825334498
13244,84,51.0,730.0,P,CO,0.0,6.1,333.68333333333334,6.35,83.96633358705732,0.9000000000000004,12.94084150078094
13245,90,64.0,760.0,P,SF,0.3431356691073772,10.3,300.4,4.55,96.32965571262127,1.4500000000000002,11.744037185933616
13246,95,40.0,727.0,R,PU,0.0,10.8,312.94666666666666,5.0,99.788312893338,1.0,12.025749091398891
13247,95,43.0,780.0,R,SF,0.0,5.4,325.79,3.93,87.0969605083029,2.445,11.79810440720389
13248,79,43.0,724.0,C,SF,0.9607136726052724,4.5,356.81,3.96,62.40669144519493,2.04,11.652687407345388
13249,94,60.0,786.0,P,SF,0.2515804255942664,11.1,316.58666666666664,4.71,97.97104764813908,1.165,11.884489021402711
13250,97,59.0,688.0,P,SF,0.3101164150369007,10.9,321.39666666666665,5.08,99.79812283742024,1.92,12.476099782743233
13251,95,34.0,747.0,P,PU,0.3688913036410686,11.0,312.25,5.08,99.83309259053044,1.795,11.782952602183288
13252,80,25.0,600.0,P,SF,0.7387875768877761,10.5,307.9033333333333,4.46,80.31772251835379,1.79,10.645424897265505
13253,54,36.0,690.0,R,SF,0.7825610498464882,5.8,310.8233333333333,4.02,50.4307826333287,2.2300000000000004,10.896739325546411
13254,80,36.0,688.0,R,PU,0.1330000470026909,11.1,316.58666666666664,4.71,82.80014801143896,2.04,12.404923504275338
13255,80,33.0,642.0,P,SF,0.8360600313375215,10.3,303.5133333333333,4.81,85.8203774733559,1.8150000000000004,11.461632170582678
13256,75,42.0,631.0,C,PU,0.6338060659902947,9.7,297.79,3.91,81.47913749808777,3.965,11.05089000537367
13257,80,40.0,786.0,C,SF,0.8549297352157366,10.4,313.75666666666666,4.49,82.78580048232706,2.76,10.896739325546411
13258,85,32.0,673.0,C,SF,0.026867327614704,10.2,299.91,4.71,91.61083605123204,2.54,11.877568578558138
13259,97,43.0,670.0,P,PU,0.1302204828767716,10.2,301.4666666666667,4.87,122.66554992537984,1.755,12.598114733306197
13260,90,35.0,689.0,P,SF,0.0,6.5,299.91,4.16,93.09608550565169,3.09,10.896739325546411
13261,95,25.0,777.0,P,SF,0.4588732943648109,9.5,298.34333333333336,3.39,91.88629929885414,3.11,11.9891596439666
13262,80,48.0,740.0,C,SF,0.4333638378525043,10.2,301.4666666666667,4.87,85.90253304757692,1.505,12.542544882151386
13263,80,29.0,773.0,P,SF,0.2515813815728699,6.4,301.01,4.53,79.33156088881718,1.3449999999999998,12.185869938212655
13264,95,38.0,667.0,P,SF,0.2192277445635538,8.2,299.68333333333334,3.35,100.38076420632888,3.9,11.002099841204238
13265,97,24.0,742.0,P,SF,0.1860762841714282,5.6,322.3233333333333,3.89,97.89787883288396,2.36,12.269047444691562
